spawn qemu-system-riscv64 -semihosting -M virt,aclint=on -cpu rv64 -smp 8 -bios none -kernel nuttx -nographic
ABC[    0.000000] mm_initialize: Heap: name=Kmem, start=0x80206c00 size=2069504
[    0.137000] mm_malloc: Allocated 0xc0201cb0, size 32
[    0.137000] mm_malloc: Allocated 0xc0201cd0, size 32
[    0.138000] mm_malloc: Allocated 0xc0201cf0, size 48
[    0.138000] mm_malloc: Allocated 0xc0201d20, size 48
[    0.139000] mm_malloc: Allocated 0xc0201d50, size 32
[    0.139000] mm_malloc: Allocated 0xc0201d70, size 32
[    0.139000] mm_malloc: Allocated 0xc0201d90, size 32
[    0.141000] mm_malloc: Allocated 0xc0201db0, size 32
[    0.142000] mm_malloc: Allocated 0xc0201dd0, size 32
[    0.142000] mm_malloc: Allocated 0xc0201df0, size 32
[    0.143000] mm_malloc: Allocated 0xc0201e10, size 32
[    0.143000] mm_malloc: Allocated 0xc0201e30, size 48
[    0.143000] mm_malloc: Allocated 0xc0201e60, size 32
[    0.144000] mm_malloc: Allocated 0xc0201e80, size 32
[    0.144000] mm_malloc: Allocated 0xc0201ea0, size 32
[    0.145000] mm_malloc: Allocated 0xc0201ec0, size 32
[    0.145000] mm_malloc: Allocated 0xc0201ee0, size 32
[    0.146000] mm_malloc: Allocated 0xc0201f00, size 48
[    0.146000] mm_malloc: Allocated 0xc0201f30, size 32
[    0.146000] mm_malloc: Allocated 0xc0201f50, size 48
[    0.147000] mm_malloc: Allocated 0xc0201f80, size 32
[    0.147000] mm_malloc: Allocated 0xc0201fa0, size 32
[    0.148000] mm_malloc: Allocated 0xc0201fc0, size 32
[    0.148000] mm_malloc: Allocated 0xc0201fe0, size 48
[    0.149000] mm_malloc: Allocated 0xc0202010, size 32
[    0.149000] mm_malloc: Allocated 0xc0202030, size 32
[    0.149000] mm_malloc: Allocated 0xc0202050, size 32
[    0.150000] mm_malloc: Allocated 0xc0202070, size 32
[    0.150000] mm_malloc: Allocated 0xc0202090, size 48
[    0.151000] mm_malloc: Allocated 0xc02020c0, size 48
[    0.151000] mm_malloc: Allocated 0xc02020f0, size 48
[    0.151000] mm_malloc: Allocated 0xc0202120, size 48
[    0.152000] mm_malloc: Allocated 0xc0202150, size 48
[    0.152000] mm_malloc: Allocated 0xc0202180, size 32
[    0.152000] mm_malloc: Allocated 0xc02021a0, size 48
[    0.153000] mm_malloc: Allocated 0xc02021d0, size 48
[    0.153000] mm_malloc: Allocated 0xc0202200, size 64
[    0.154000] mm_malloc: Allocated 0xc0202240, size 32
[    0.154000] mm_malloc: Allocated 0xc0202260, size 32
[    0.155000] mm_malloc: Allocated 0xc0202280, size 32
[    0.155000] mm_malloc: Allocated 0xc02022a0, size 32
[    0.156000] mm_malloc: Allocated 0xc02022c0, size 32
[    0.156000] mm_malloc: Allocated 0xc02022e0, size 32
[    0.156000] mm_malloc: Allocated 0xc0202300, size 32
[    0.157000] mm_malloc: Allocated 0xc0202320, size 32
[    0.157000] mm_malloc: Allocated 0xc0202340, size 32
[    0.158000] mm_malloc: Allocated 0xc0202360, size 32
[    0.158000] mm_malloc: Allocated 0xc0202380, size 48
[    0.159000] mm_malloc: Allocated 0xc02023b0, size 48
[    0.159000] mm_malloc: Allocated 0xc02023e0, size 48
[    0.160000] mm_malloc: Allocated 0xc0202410, size 48
[    0.160000] mm_malloc: Allocated 0xc0202440, size 48
[    0.161000] mm_malloc: Allocated 0xc0202470, size 48
[    0.161000] mm_malloc: Allocated 0xc02024a0, size 32
[    0.162000] mm_malloc: Allocated 0xc02024c0, size 48
[    0.162000] mm_malloc: Allocated 0xc02024f0, size 32
[    0.163000] mm_malloc: Allocated 0xc0202510, size 32
[    0.163000] mm_malloc: Allocated 0xc0202530, size 32
[    0.164000] mm_malloc: Allocated 0xc0202550, size 48
[    0.164000] mm_malloc: Allocated 0xc0202580, size 32
[    0.164000] mm_malloc: Allocated 0xc02025a0, size 32
[    0.165000] mm_malloc: Allocated 0xc02025c0, size 32
[    0.165000] mm_malloc: Allocated 0xc02025e0, size 32
[    0.165000] mm_malloc: Allocated 0xc0202600, size 32
[    0.166000] mm_malloc: Allocated 0xc0202620, size 32
[    0.166000] mm_malloc: Allocated 0xc0202640, size 32
[    0.167000] mm_malloc: Allocated 0xc0202660, size 32
[    0.167000] mm_malloc: Allocated 0xc0202680, size 32
[    0.168000] mm_malloc: Allocated 0xc02026a0, size 32
[    0.169000] mm_malloc: Allocated 0xc02026c0, size 32
[    0.169000] mm_malloc: Allocated 0xc02026e0, size 32
[    0.170000] mm_malloc: Allocated 0xc0202700, size 32
[    0.170000] mm_malloc: Allocated 0xc0202720, size 32
[    0.170000] mm_malloc: Allocated 0xc0202740, size 48
[    0.171000] mm_malloc: Allocated 0xc0202770, size 32
[    0.171000] mm_malloc: Allocated 0xc0202790, size 48
[    0.172000] mm_malloc: Allocated 0xc02027c0, size 48
[    0.172000] mm_malloc: Allocated 0xc02027f0, size 48
[    0.172000] mm_malloc: Allocated 0xc0202820, size 64
[    0.173000] mm_malloc: Allocated 0xc0202860, size 48
[    0.173000] mm_malloc: Allocated 0xc0202890, size 48
[    0.174000] mm_malloc: Allocated 0xc02028c0, size 48
[    0.174000] mm_malloc: Allocated 0xc02028f0, size 32
[    0.176000] mm_malloc: Allocated 0xc0202910, size 32
[    0.176000] mm_malloc: Allocated 0xc0202930, size 32
[    0.177000] mm_malloc: Allocated 0xc0202950, size 32
[    0.177000] mm_malloc: Allocated 0xc0202970, size 32
